,0
2002,35.22616552388017
2003,35.067589455204846
2004,35.21780473075141
2005,35.21288647519978
2006,35.22989347124179
2007,35.25299269849179
2008,35.14549148837173
2009,35.150287336389034
2010,35.10675640095745
2011,35.2270210733274
2012,35.17996273555168
2013,35.109987779412975
2014,35.14145014225221
2015,35.26043702638056
2016,35.16371733182828
2017,35.22818069765972
2018,35.04348113556089
2019,35.101345062887134
2020,34.99443757643435
2021,34.95054432891684
